127.0.0.1 - - [06/Nov/2024:10:22:49 +0100] "GET / HTTP/1.1" 404 688
127.0.0.1 - - [06/Nov/2024:10:22:51 +0100] "GET /example-webapp/Ejemplo16.jsp HTTP/1.1" 200 694
127.0.0.1 - - [06/Nov/2024:10:23:09 +0100] "GET /example-webapp/Ejemplo15.jsp HTTP/1.1" 200 242
127.0.0.1 - - [06/Nov/2024:10:31:08 +0100] "GET /example-webapp/Ejemplo16.jsp HTTP/1.1" 200 778
127.0.0.1 - - [06/Nov/2024:10:31:08 +0100] "GET /favicon.ico HTTP/1.1" 404 699
127.0.0.1 - - [06/Nov/2024:10:39:45 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:47 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:47 +0100] "GET /favicon.ico HTTP/1.1" 404 699
127.0.0.1 - - [06/Nov/2024:10:39:47 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:47 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:47 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:48 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:48 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:39:48 +0100] "GET /example-webapp/Ejemplo17%C3%A7.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
